center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
1071,0,all,401,4741,131,131.0,116,0.2892768079800499,257,0.6408977556109726,4727,0.28704833495807175,5.528426505683109,61,75,30,27,30,0.4918032786885246,0.09782962920280822,3.2502071063431512,1.0,200,200,0,0,,,,,,,,,,
1188,0,all,401,4495,140,140.0,125,0.3117206982543641,248,0.6184538653366584,4481,0.298459694178232,5.4915413273182345,61,74,28,24,29,0.47540983606557374,0.04535040557996803,3.2068948687506778,1.0,200,200,0,0,,,,,,,,,,
691,0,all,401,7283,111,111.0,99,0.24688279301745636,280,0.6982543640897756,7272,0.33655498024354796,5.619841569081368,61,147,21,20,41,0.6721311475409836,0.1422647647711301,3.612895172166465,1.0,200,200,0,0,,,,,,,,,,
764,0,all,401,6756,114,114.0,99,0.24688279301745636,274,0.683291770573566,6742,0.33828338824271975,5.596864687698316,61,146,20,18,40,0.6557377049180327,0.20789687287568936,3.5771657548898657,1.0,200,200,0,0,,,,,,,,,,
1105,0,all,401,4627,138,138.0,124,0.3092269326683292,251,0.6259351620947631,4614,0.2969264020888705,5.504589509414027,61,74,25,24,37,0.6065573770491803,0.0196647608718803,3.4227195732508005,1.0,200,200,0,0,,,,,,,,,,
946,0,all,401,5360,126,126.0,111,0.27680798004987534,262,0.6533665835411472,5346,0.31959186786162436,5.549507990846846,61,115,25,23,36,0.5901639344262295,0.07588944134416584,3.468204226883944,1.0,200,200,0,0,,,,,,,,,,
1033,0,all,401,4884,132,132.0,118,0.2942643391521197,257,0.6408977556109726,4871,0.3047013835173988,5.529242182506064,61,69,29,26,30,0.4918032786885246,0.04038043518007881,3.2319070466200444,1.0,200,200,0,0,,,,,,,,,,
633,0,all,401,7927,106,106.0,93,0.23192019950124687,284,0.7082294264339152,7915,0.34407983507439854,5.635077831919548,61,147,20,18,39,0.639344262295082,0.13209946884815604,3.5607981502141075,1.0,200,200,0,0,,,,,,,,,,
542,0,all,401,8977,94,94.0,79,0.1970074812967581,294,0.7331670822942643,8963,0.3577187178554814,5.670592376854189,61,222,18,17,44,0.7213114754098361,0.08499574583448302,3.7015427107586834,1.0,200,200,0,0,,,,,,,,,,
669,0,all,401,7452,108,108.0,95,0.23690773067331672,282,0.7032418952618454,7440,0.3377312278325995,5.627203952461981,61,140,20,19,42,0.6885245901639344,0.11704691199508487,3.6165446426290395,1.0,200,200,0,0,,,,,,,,,,
