center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
541,0,all,401,8966,94,94.0,79,0.1970074812967581,294,0.7331670822942643,8952,0.34066679230743585,5.671465975252147,61,213,18,17,44,0.7213114754098361,0.07665781364331418,3.69956494134788,1.0,200,200,0,0,,,,,,,,,,
738,0,all,401,6926,113,113.0,98,0.24438902743142144,275,0.685785536159601,6912,0.3157182431800988,5.602064213818252,61,145,21,20,41,0.6721311475409836,0.14824854097437867,3.6101003075413987,1.0,200,200,0,0,,,,,,,,,,
623,0,all,401,8076,105,105.0,93,0.23192019950124687,286,0.713216957605985,8065,0.3281502872884193,5.643083780119525,61,144,20,18,40,0.6557377049180327,0.07854308771965471,3.580654245187128,1.0,200,200,0,0,,,,,,,,,,
1397,0,all,401,3706,151,151.0,139,0.34663341645885287,240,0.5985037406483791,3695,0.268208737306176,5.45783308572767,61,61,29,25,26,0.4262295081967213,0.0355027419337738,3.0854040423625966,1.0,200,200,0,0,,,,,,,,,,
1014,0,all,401,4978,131,131.0,118,0.2942643391521197,259,0.6458852867830424,4966,0.2766270923302457,5.538078020060665,61,93,22,20,38,0.6229508196721312,0.03573363491788863,3.4857706886051885,1.0,200,200,0,0,,,,,,,,,,
722,0,all,401,7004,111,111.0,97,0.24189526184538654,278,0.6932668329177057,6991,0.30904119888696796,5.6129403661741915,61,142,20,19,42,0.6885245901639344,0.12082015841682422,3.6248220518335446,1.0,200,200,0,0,,,,,,,,,,
1431,0,all,401,3591,150,150.0,136,0.33915211970074816,239,0.5960099750623441,3578,0.25003687814381786,5.4529610078564215,61,43,32,27,23,0.3770491803278688,0.019977609753152586,2.9108019694295653,1.0,200,200,0,0,,,,,,,,,,
1324,0,all,401,3876,146,146.0,133,0.3316708229426434,244,0.6084788029925187,3864,0.2312136151925831,5.4733960840333475,61,74,27,25,34,0.5573770491803278,0.04823558628833598,3.3646666618611554,1.0,200,200,0,0,,,,,,,,,,
1277,0,all,401,4085,142,142.0,125,0.3117206982543641,244,0.6084788029925187,4069,0.26985138950117415,5.475374796904647,61,73,31,29,30,0.4918032786885246,0.10355638622980981,3.2478096498502858,1.0,200,200,0,0,,,,,,,,,,
1071,0,all,401,4741,131,131.0,116,0.2892768079800499,257,0.6408977556109726,4727,0.2627463727279759,5.529365563782424,61,75,30,27,30,0.4918032786885246,0.09317102324975278,3.255635708353668,1.0,200,200,0,0,,,,,,,,,,
1188,0,all,401,4495,140,140.0,125,0.3117206982543641,248,0.6184538653366584,4481,0.2740652889129583,5.492635126200307,61,74,28,24,29,0.47540983606557374,0.03526874845150073,3.209016900510769,1.0,200,200,0,0,,,,,,,,,,
691,0,all,401,7283,111,111.0,99,0.24688279301745636,280,0.6982543640897756,7272,0.3144143688199526,5.620713687675934,61,147,21,20,41,0.6721311475409836,0.14136545779310505,3.6175791139456708,1.0,200,200,0,0,,,,,,,,,,
764,0,all,401,6756,114,114.0,99,0.24688279301745636,274,0.683291770573566,6742,0.3071968337233253,5.597813513140617,61,146,20,18,40,0.6557377049180327,0.21816428918398903,3.580923293024783,1.0,200,200,0,0,,,,,,,,,,
1105,0,all,401,4627,138,138.0,124,0.3092269326683292,251,0.6259351620947631,4614,0.2752573603631737,5.505587288237851,61,74,25,24,37,0.6065573770491803,0.017112915899721963,3.4234891305230404,1.0,200,200,0,0,,,,,,,,,,
946,0,all,401,5360,126,126.0,111,0.27680798004987534,262,0.6533665835411472,5346,0.2874391543234004,5.550538627300469,61,115,25,23,36,0.5901639344262295,0.07477968583149211,3.471249691735955,1.0,200,200,0,0,,,,,,,,,,
1033,0,all,401,4884,132,132.0,118,0.2942643391521197,257,0.6408977556109726,4871,0.27753563016423033,5.53019160401249,61,69,29,26,30,0.4918032786885246,0.035849568327874934,3.232937878643813,1.0,200,200,0,0,,,,,,,,,,
633,0,all,401,7927,106,106.0,93,0.23192019950124687,284,0.7082294264339152,7915,0.32895629190633924,5.635914378355473,61,147,20,18,39,0.639344262295082,0.11808961524961241,3.5633721424265934,1.0,200,200,0,0,,,,,,,,,,
542,0,all,401,8977,94,94.0,79,0.1970074812967581,294,0.7331670822942643,8963,0.3411174557521629,5.671469596594541,61,222,18,17,44,0.7213114754098361,0.07664999525810672,3.7028743932309487,1.0,200,200,0,0,,,,,,,,,,
669,0,all,401,7452,108,108.0,95,0.23690773067331672,282,0.7032418952618454,7440,0.31314209796691317,5.628050708212788,61,140,20,19,42,0.6885245901639344,0.1229442634014436,3.619892027613812,1.0,200,200,0,0,,,,,,,,,,
809,0,all,401,6611,118,118.0,104,0.2593516209476309,271,0.6758104738154613,6598,0.286701097512368,5.586670860427175,61,126,18,17,44,0.7213114754098361,0.07441949462828074,3.6541149114154328,1.0,200,200,0,0,,,,,,,,,,
1388,0,all,401,3729,150,150.0,137,0.341645885286783,240,0.5985037406483791,3717,0.26193219199846646,5.457814950246801,61,74,27,26,35,0.5737704918032787,0.019433815463926557,3.389773346958363,1.0,200,200,0,0,,,,,,,,,,
1355,0,all,401,3846,147,147.0,136,0.33915211970074816,245,0.6109725685785536,3836,0.2632786003923513,5.477741776957094,61,69,25,23,32,0.5245901639344263,0.048900666521114924,3.290487213837455,1.0,200,200,0,0,,,,,,,,,,
509,0,all,401,9504,89,89.0,74,0.18453865336658354,299,0.7456359102244389,9490,0.3403520968366437,5.6887844468392395,61,216,17,16,45,0.7377049180327869,0.21612296227610173,3.7266494807614046,1.0,200,200,0,0,,,,,,,,,,
654,0,all,401,7613,107,107.0,92,0.22942643391521197,281,0.7007481296758105,7599,0.3305988715066867,5.6248786478283455,61,142,20,18,40,0.6557377049180327,0.08595057738875782,3.5799920180240328,1.0,200,200,0,0,,,,,,,,,,
735,0,all,401,6908,112,112.0,97,0.24189526184538654,276,0.6882793017456359,6894,0.3154168647419086,5.605553924636319,61,158,20,19,42,0.6885245901639344,0.1284557874933006,3.6356789167953076,1.0,200,200,0,0,,,,,,,,,,
860,0,all,401,6008,121,121.0,104,0.2593516209476309,265,0.6608478802992519,5992,0.28977113919057723,5.563486147756823,61,116,24,22,37,0.6065573770491803,0.10065675276047245,3.4807357183379777,1.0,200,200,0,0,,,,,,,,,,
