t,center,is_twin,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,t_mod_13,is_forbidden_13,dist_to_forbid_13,t_mod_17,is_forbidden_17,dist_to_forbid_17,t_mod_19,is_forbidden_19,dist_to_forbid_19,layer_hits_L1,layer_hits_L2,layer_hits_L3,layer_allow_L1,layer_allow_L2,layer_allow_L3
43844,1215355680,0,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,1,0,4,11,0,7,0,0,0,1,1,1
33152,918973440,0,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,2,0,3,16,0,2,0,0,0,1,1,1
68190,1890226800,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,3,0,2,18,1,0,0,0,1,1,1,0
93751,2598777720,0,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,13,0,1,5,0,4,0,0,0,1,1,1
10177,282106440,0,0,61,61,1,0.01639344262295082,0.0,0.0,11,0,1,11,0,1,12,0,6,0,0,0,1,1,1
148497,4116336840,0,0,61,61,1,0.01639344262295082,0.0,0.0,11,0,1,2,0,3,12,0,6,0,0,0,1,1,1
65286,1809727920,0,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,6,0,1,2,0,1,0,0,0,1,1,1
132262,3666302640,0,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,2,0,3,3,0,2,0,0,0,1,1,1
105563,2926206360,0,0,61,61,1,0.01639344262295082,0.0,0.0,3,1,0,10,0,2,18,1,0,1,1,1,0,0,0
95612,2650364640,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,4,0,1,4,0,3,1,1,1,0,0,0
51156,1418044320,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,3,0,2,8,0,7,0,0,0,1,1,1
89221,2473206120,0,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,5,1,0,16,0,2,0,1,1,1,0,0
13398,371392560,0,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,2,0,3,3,0,2,0,0,0,1,1,1
38884,1077864480,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,5,1,0,10,0,8,0,1,1,1,0,0
