t,center,is_twin,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,t_mod_11,is_forbidden_11,dist_to_forbid_11,t_mod_13,is_forbidden_13,dist_to_forbid_13,t_mod_17,is_forbidden_17,dist_to_forbid_17,layer_hits_L1,layer_hits_L2,layer_hits_L3,layer_allow_L1,layer_allow_L2,layer_allow_L3
160923,405525960,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,9,0,2,1,0,3,0,0,0,1,1,1
291361,734229720,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,5,0,1,15,0,2,0,0,0,1,1,1
723375,1822905000,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,3,0,3,8,0,4,0,0,0,1,1,1
848375,2137905000,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,0,0,1,8,0,1,7,0,3,0,0,0,1,1,1
675834,1703101680,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,5,0,4,3,0,3,16,0,3,0,0,0,1,1,1
334966,844114320,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,5,0,4,8,0,1,15,0,2,0,0,0,1,1,1
1768230,4455939600,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,2,0,1,9,0,2,9,0,4,0,0,0,1,1,1
1168,2943360,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,2,0,1,11,0,4,12,0,1,0,0,0,1,1,1
1935631,4877790120,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,5,0,4,9,0,2,11,0,2,0,0,0,1,1,1
2064828,5203366560,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,7,0,3,12,0,5,8,0,4,0,0,0,1,1,1
1718703,4331131560,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,8,0,2,12,0,5,3,0,1,0,0,0,1,1,1
766950,1932714000,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,8,0,2,2,0,4,12,0,1,0,0,0,1,1,1
1295646,3265027920,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,0,5,8,0,4,0,0,0,1,1,1
1760279,4435903080,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,1,0,5,14,0,1,0,0,0,1,1,1
1117121,2815144920,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,5,0,4,5,0,1,0,0,4,0,0,0,1,1,1
1125876,2837207520,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,11,0,4,0,0,4,0,0,0,1,1,1
2012672,5071933440,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,2,0,1,12,0,5,8,0,4,0,0,0,1,1,1
350189,882476280,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,8,0,1,6,0,2,0,0,0,1,1,1
1282072,3230821440,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,0,0,1,12,0,5,0,0,4,0,0,0,1,1,1
75963,191426760,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,8,0,2,4,0,2,7,0,3,0,0,0,1,1,1
1927885,4858270200,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,3,0,2,11,0,4,0,0,4,0,0,0,1,1,1
853136,2149902720,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,9,0,1,11,0,4,8,0,4,0,0,0,1,1,1
1055563,2660018760,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,3,0,2,2,0,4,16,0,3,0,0,0,1,1,1
