p,killed_Q0,survive_Q1,hazard,rank
28447,0,1,0.0,897
28463,0,1,0.0,898
28493,0,1,0.0,899
28537,0,1,0.0,900
28541,0,1,0.0,901
28547,0,1,0.0,902
28579,0,1,0.0,903
28591,0,1,0.0,904
28603,0,1,0.0,905
28607,0,1,0.0,906
28619,0,1,0.0,907
28621,0,1,0.0,908
28631,0,1,0.0,909
28649,0,1,0.0,910
28657,0,1,0.0,911
28661,0,1,0.0,912
28663,0,1,0.0,913
28669,0,1,0.0,914
28697,0,1,0.0,915
28711,0,1,0.0,916
28723,0,1,0.0,917
28729,0,1,0.0,918
28759,0,1,0.0,919
28771,0,1,0.0,920
28789,0,1,0.0,921
28807,0,1,0.0,922
28813,0,1,0.0,923
28817,0,1,0.0,924
28871,0,1,0.0,925
28879,0,1,0.0,926
28921,0,1,0.0,927
28927,0,1,0.0,928
28979,0,1,0.0,929
29009,0,1,0.0,930
29017,0,1,0.0,931
29023,0,1,0.0,932
29027,0,1,0.0,933
29059,0,1,0.0,934
29063,0,1,0.0,935
29077,0,1,0.0,936
29101,0,1,0.0,937
29123,0,1,0.0,938
29129,0,1,0.0,939
29131,0,1,0.0,940
29147,0,1,0.0,941
29153,0,1,0.0,942
29179,0,1,0.0,943
29191,0,1,0.0,944
29207,0,1,0.0,945
29209,0,1,0.0,946
29231,0,1,0.0,947
29243,0,1,0.0,948
29251,0,1,0.0,949
29269,0,1,0.0,950
29303,0,1,0.0,951
29311,0,1,0.0,952
29333,0,1,0.0,953
29387,0,1,0.0,954
29389,0,1,0.0,955
29399,0,1,0.0,956
29401,0,1,0.0,957
29423,0,1,0.0,958
29429,0,1,0.0,959
29437,0,1,0.0,960
29473,0,1,0.0,961
29527,0,1,0.0,962
29567,0,1,0.0,963
29573,0,1,0.0,964
29587,0,1,0.0,965
29599,0,1,0.0,966
29611,0,1,0.0,967
29629,0,1,0.0,968
29633,0,1,0.0,969
29641,0,1,0.0,970
29669,0,1,0.0,971
29671,0,1,0.0,972
29683,0,1,0.0,973
29717,0,1,0.0,974
29753,0,1,0.0,975
29759,0,1,0.0,976
29789,0,1,0.0,977
29819,0,1,0.0,978
29833,0,1,0.0,979
29837,0,1,0.0,980
29863,0,1,0.0,981
29879,0,1,0.0,982
29917,0,1,0.0,983
29947,0,1,0.0,984
29959,0,1,0.0,985
29989,0,1,0.0,986
30011,0,1,0.0,987
30013,0,1,0.0,988
30029,0,1,0.0,989
30047,0,1,0.0,990
30059,0,1,0.0,991
30071,0,1,0.0,992
30089,0,1,0.0,993
30097,0,1,0.0,994
30109,0,1,0.0,995
30119,0,1,0.0,996
30137,0,1,0.0,997
30161,0,1,0.0,998
30211,0,1,0.0,999
30223,0,1,0.0,1000
30241,0,1,0.0,1001
30259,0,1,0.0,1002
30271,0,1,0.0,1003
30313,0,1,0.0,1004
30319,0,1,0.0,1005
30347,0,1,0.0,1006
30391,0,1,0.0,1007
30403,0,1,0.0,1008
30427,0,1,0.0,1009
30469,0,1,0.0,1010
30491,0,1,0.0,1011
30493,0,1,0.0,1012
30497,0,1,0.0,1013
30509,0,1,0.0,1014
30539,0,1,0.0,1015
30559,0,1,0.0,1016
30577,0,1,0.0,1017
30593,0,1,0.0,1018
30631,0,1,0.0,1019
30643,0,1,0.0,1020
30661,0,1,0.0,1021
30677,0,1,0.0,1022
30703,0,1,0.0,1023
30707,0,1,0.0,1024
30727,0,1,0.0,1025
30757,0,1,0.0,1026
30763,0,1,0.0,1027
30803,0,1,0.0,1028
30809,0,1,0.0,1029
30829,0,1,0.0,1030
30839,0,1,0.0,1031
30841,0,1,0.0,1032
30853,0,1,0.0,1033
30859,0,1,0.0,1034
30869,0,1,0.0,1035
30871,0,1,0.0,1036
30881,0,1,0.0,1037
30931,0,1,0.0,1038
30937,0,1,0.0,1039
30941,0,1,0.0,1040
30949,0,1,0.0,1041
30971,0,1,0.0,1042
30977,0,1,0.0,1043
31013,0,1,0.0,1044
31039,0,1,0.0,1045
31051,0,1,0.0,1046
31079,0,1,0.0,1047
31081,0,1,0.0,1048
31091,0,1,0.0,1049
31139,0,1,0.0,1050
31153,0,1,0.0,1051
31159,0,1,0.0,1052
31177,0,1,0.0,1053
31181,0,1,0.0,1054
31183,0,1,0.0,1055
31189,0,1,0.0,1056
31193,0,1,0.0,1057
31219,0,1,0.0,1058
31247,0,1,0.0,1059
31249,0,1,0.0,1060
31259,0,1,0.0,1061
31267,0,1,0.0,1062
31271,0,1,0.0,1063
