n_start,t,n_top,peak_id,k_peak,k_peak_sub,peak_value
1000000,132,1000132,2,418,418.01556,0.00060332933
1000000,133,1000133,0,380,380,0.00058977627
1000000,133,1000133,1,381,380.54648,0.00059176921
1000000,133,1000133,2,418,418.01556,0.00060332933
1000000,134,1000134,0,380,380,0.00058977627
1000000,134,1000134,1,381,380.54648,0.00059176921
1000000,134,1000134,2,418,418.01556,0.00060332933
1000000,135,1000135,0,380,380,0.00058977627
1000000,135,1000135,1,381,380.54648,0.00059176921
1000000,135,1000135,2,418,418.01556,0.00060332933
1000000,136,1000136,0,380,380,0.00058977627
1000000,136,1000136,1,381,380.54648,0.00059176921
1000000,136,1000136,2,418,418.01556,0.00060332933
1000000,137,1000137,0,381,380.54648,0.00059176921
1000000,137,1000137,1,418,418.01556,0.00060332933
1000000,137,1000137,2,470,470.51914,0.00062707592
1000000,138,1000138,0,381,380.54648,0.00059176921
1000000,138,1000138,1,418,418.01556,0.00060332933
1000000,138,1000138,2,470,470.51914,0.00062707592
1000000,139,1000139,0,381,380.54648,0.00059176921
1000000,139,1000139,1,418,418.01556,0.00060332933
1000000,139,1000139,2,470,470.51914,0.00062707592
1000000,140,1000140,0,381,380.54648,0.00059176921
1000000,140,1000140,1,418,418.01556,0.00060332933
1000000,140,1000140,2,470,470.51914,0.00062707592
1000000,141,1000141,0,381,380.54648,0.00059176921
1000000,141,1000141,1,380,380,0.00058977627
1000000,141,1000141,2,480,480,0.00058654531
1000000,142,1000142,0,381,380.54648,0.00059176921
1000000,142,1000142,1,380,380,0.00058977627
1000000,142,1000142,2,480,480,0.00058654531
1000000,143,1000143,0,381,380.54648,0.00059176921
1000000,143,1000143,1,380,380,0.00058977627
1000000,143,1000143,2,480,480,0.00058654531
1000000,144,1000144,0,381,380.54648,0.00059176921
1000000,144,1000144,1,380,380,0.00058977627
1000000,144,1000144,2,480,480,0.00058654531
1000000,145,1000145,0,381,380.54648,0.00059176921
1000000,145,1000145,1,380,380,0.00058977627
1000000,145,1000145,2,480,480,0.00058654531
1000000,146,1000146,0,381,380.54648,0.00059176921
1000000,146,1000146,1,380,380,0.00058977627
1000000,146,1000146,2,480,480,0.00058654531
1000000,147,1000147,0,381,380.54648,0.00059176921
1000000,147,1000147,1,380,380,0.00058977627
1000000,147,1000147,2,480,480,0.00058654531
1000000,148,1000148,0,381,380.54648,0.00059176921
1000000,148,1000148,1,380,380,0.00058977627
1000000,148,1000148,2,480,480,0.00058654531
1000000,149,1000149,0,381,380.54648,0.00059176921
1000000,149,1000149,1,380,380,0.00058977627
1000000,149,1000149,2,480,480,0.00058654531
1000000,150,1000150,0,381,380.54648,0.00059176921
1000000,150,1000150,1,380,380,0.00058977627
1000000,150,1000150,2,480,480,0.00058654531
1000000,151,1000151,0,381,380.54648,0.00059176921
1000000,151,1000151,1,380,380,0.00058977627
1000000,151,1000151,2,476,475.51915,0.00058142653
1000000,152,1000152,0,381,380.54648,0.00059176921
1000000,152,1000152,1,380,380,0.00058977627
1000000,152,1000152,2,476,475.51915,0.00058142653
1000000,153,1000153,0,381,380.54648,0.00059176921
1000000,153,1000153,1,380,380,0.00058977627
1000000,153,1000153,2,432,432.01511,0.00062362277
1000000,154,1000154,0,381,380.54648,0.00059176921
1000000,154,1000154,1,380,380,0.00058977627
1000000,154,1000154,2,432,432.01511,0.00062362277
1000000,155,1000155,0,381,380.54648,0.00059176921
1000000,155,1000155,1,380,380,0.00058977627
1000000,155,1000155,2,432,432.01511,0.00062362277
